attempts,contacts,global_seed,index,params.object.euler,params.object.pos,params.spoon1.euler,params.spoon1.pos,scene,scene_seed,scene_type
1,11,0,1,0 0 -0.43689825,0.63309875 -0.0080698849 0.22,1.5708 1.84523 1.5708,0.64411763 0.19661763 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_001.xml,3626764237,wire_spoon
1,11,0,2,0 0 -0.29171933,0.54909805 -0.016160794 0.22,1.5708 1.9539679 1.5708,0.65874496 0.01958524 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_002.xml,1806341205,wire_spoon
1,11,0,3,0 0 0.70840003,0.66316409 -0.18424523 0.22,1.5708 1.2677386 1.5708,0.59506617 0.032400768 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_003.xml,2195908194,wire_spoon
1,11,0,4,0 0 0.37904492,0.53963881 -0.085779461 0.22,1.5708 1.3042388 1.5708,0.63648719 0.097369126 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_004.xml,2046968324,wire_spoon
1,11,0,5,0 0 -0.43554346,0.63377586 -0.17158504 0.22,1.5708 1.8190397 1.5708,0.59540094 0.12089837 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_005.xml,3900315155,wire_spoon
1,11,0,6,0 0 -0.55419154,0.70393043 -0.12016768 0.22,1.5708 1.2801765 1.5708,0.59098753 0.17785687 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_006.xml,2167613558,wire_spoon
1,11,0,7,0 0 0.49366903,0.6821845 -0.089264554 0.22,1.5708 1.3113185 1.5708,0.56545068 0.037550505 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_007.xml,1210484339,wire_spoon
1,11,0,8,0 0 -0.62215333,0.58512157 -0.19019763 0.22,1.5708 1.7898317 1.5708,0.60017171 0.072151052 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_008.xml,3246154361,wire_spoon
1,11,0,9,0 0 0.57621033,0.71235481 -0.0052866739 0.22,1.5708 1.8885203 1.5708,0.52965732 0.15494799 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_009.xml,3874773259,wire_spoon
1,11,0,10,0 0 -0.65643251,0.6406276 -0.11516822 0.22,1.5708 1.3395523 1.5708,0.51346524 0.17609676 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_010.xml,1332073689,wire_spoon
1,11,0,11,0 0 -0.57325705,0.59036666 -0.19122605 0.22,1.5708 1.1943101 1.5708,0.56796658 0.10823107 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_011.xml,3134603515,wire_spoon
1,11,0,12,0 0 -0.46544505,0.60901713 -0.086282543 0.22,1.5708 1.3254182 1.5708,0.61146 0.056736673 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_012.xml,2937688618,wire_spoon
1,11,0,13,0 0 0.55813911,0.61664141 -0.16999272 0.22,1.5708 1.848162 1.5708,0.60756486 0.14825869 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_013.xml,432508404,wire_spoon
1,11,0,14,0 0 -0.60722081,0.5402848 -0.087505984 0.22,1.5708 1.8682763 1.5708,0.65654032 0.0076367861 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_014.xml,1864753826,wire_spoon
1,11,0,15,0 0 -0.74474652,0.63919381 -0.18224899 0.22,1.5708 1.9434429 1.5708,0.55663134 0.015324904 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_015.xml,3921352636,wire_spoon
1,11,0,16,0 0 0.54753615,0.5498286 -0.10360506 0.22,1.5708 1.2844124 1.5708,0.53184529 0.12540881 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_016.xml,2048741382,wire_spoon
1,11,0,17,0 0 0.25500479,0.57670269 -0.074949286 0.22,1.5708 1.8286263 1.5708,0.62861562 0.11199344 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_017.xml,1118805955,wire_spoon
1,11,0,18,0 0 -0.28946316,0.56665758 -0.081693846 0.22,1.5708 1.3023169 1.5708,0.62130301 0.1065754 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_018.xml,60308648,wire_spoon
1,11,0,19,0 0 -0.71620151,0.5884378 -0.11943651 0.22,1.5708 1.2798603 1.5708,0.54659021 0.0034109244 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_019.xml,3726325546,wire_spoon
1,11,0,20,0 0 -0.70450539,0.56484681 -0.047428583 0.22,1.5708 1.273892 1.5708,0.6713615 0.061466478 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_020.xml,3738645480,wire_spoon
1,11,0,21,0 0 -0.43220843,0.71711118 -0.042604775 0.22,1.5708 1.2323816 1.5708,0.6611601 0.10973494 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_021.xml,2437440079,wire_spoon
1,11,0,22,0 0 -0.27110113,0.57260121 -0.088932892 0.22,1.5708 1.3105352 1.5708,0.53082145 0.04902394 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_022.xml,4155553746,wire_spoon
1,11,0,23,0 0 -0.46695931,0.52353409 -0.028132188 0.22,1.5708 1.1725117 1.5708,0.50972194 0.10177461 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_023.xml,1924014660,wire_spoon
1,11,0,24,0 0 -0.28389671,0.66088573 -0.079135043 0.22,1.5708 1.303735 1.5708,0.60390697 0.18114364 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_024.xml,4006490763,wire_spoon
1,11,0,25,0 0 -0.71717863,0.57150195 -0.011585274 0.22,1.5708 1.9019006 1.5708,0.586405 0.15461507 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_025.xml,468399889,wire_spoon
1,11,0,26,0 0 0.5414035,0.53045686 -0.13266753 0.22,1.5708 1.1867845 1.5708,0.52542706 0.19037612 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_026.xml,2367674807,wire_spoon
1,11,0,27,0 0 0.73931638,0.53249733 -0.069133624 0.22,1.5708 1.2205583 1.5708,0.53058536 0.18925933 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_027.xml,3034658173,wire_spoon
1,11,0,28,0 0 0.40714698,0.66579134 -0.10861458 0.22,1.5708 1.2441537 1.5708,0.54033774 0.18194443 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_028.xml,2351240810,wire_spoon
